id,adjusted close
AMZN0,148.47
AMZN1,151.94
AMZN2,146.09
AMZN3,133.09
AMZN4,127.12
AMZN5,138.01
AMZN6,133.68
AMZN7,130.36
AMZN8,120.58
AMZN9,105.45
AMZN10,103.29
AMZN11,94.23
AMZN12,103.13
AMZN13,84.0
AMZN14,96.54
AMZN15,102.44
AMZN16,113.0
AMZN17,126.77
AMZN18,134.95
AMZN19,106.21
AMZN20,120.2095
AMZN21,124.2815
AMZN22,162.9975
AMZN23,153.563
AMZN24,149.5735
AMZN25,166.717
AMZN26,175.3535
AMZN27,168.6215
AMZN28,164.252
AMZN29,173.5395
AMZN30,166.3795
AMZN31,172.008
AMZN32,161.1535
AMZN33,173.371
AMZN34,154.704
AMZN35,154.6465
AMZN36,160.31
AMZN37,162.8465
AMZN38,158.402
AMZN39,151.8075
AMZN40,157.4365
AMZN41,172.548
AMZN42,158.234
AMZN43,137.941
AMZN44,122.1185
AMZN45,123.7
AMZN46,97.486
AMZN47,94.1875
AMZN48,100.436
AMZN49,92.392
AMZN50,90.04
AMZN51,88.833
AMZN52,86.7955
AMZN53,88.8145
AMZN54,93.339
AMZN55,94.6815
AMZN56,88.7535
AMZN57,96.326
AMZN58,89.0375
AMZN59,81.9915
AMZN60,85.9365
AMZN61,75.0985
AMZN62,84.5085
AMZN63,79.9005
AMZN64,100.15
AMZN65,100.6355
AMZN66,88.872
AMZN67,84.99
AMZN68,81.481
AMZN69,78.3065
AMZN70,72.367
AMZN71,75.6225
AMZN72,72.5445
AMZN73,58.4735
AMZN74,58.8375
AMZN75,55.264
AMZN76,48.0675
AMZN77,49.03
AMZN78,49.389
AMZN79,48.4
AMZN80,49.731
AMZN81,46.2495
AMZN82,44.327
AMZN83,42.252
AMZN84,41.174
AMZN85,37.4935
AMZN86,37.5285
AMZN87,39.491
AMZN88,41.8655
AMZN89,38.458
AMZN90,37.9405
AMZN91,35.781
AMZN92,36.1395
AMZN93,32.9795
AMZN94,29.682
AMZN95,27.626
AMZN96,29.35
AMZN97,33.7945
AMZN98,33.24
AMZN99,31.295
AMZN100,25.5835
AMZN101,25.6445
AMZN102,26.8075
AMZN103,21.7045
AMZN104,21.4615
AMZN105,21.089
AMZN106,18.605
AMZN107,19.008
AMZN108,17.7265
AMZN109,15.5175
AMZN110,16.932
AMZN111,15.273
AMZN112,16.122
AMZN113,16.952
AMZN114,15.6495
AMZN115,16.239
AMZN116,15.6275
AMZN117,15.2065
AMZN118,16.8182
AMZN119,18.105
AMZN120,17.9345
