id,dates
AMZN0,2024-01-03
AMZN1,2023-12-29
AMZN2,2023-11-30
AMZN3,2023-10-31
AMZN4,2023-09-29
AMZN5,2023-08-31
AMZN6,2023-07-31
AMZN7,2023-06-30
AMZN8,2023-05-31
AMZN9,2023-04-28
AMZN10,2023-03-31
AMZN11,2023-02-28
AMZN12,2023-01-31
AMZN13,2022-12-30
AMZN14,2022-11-30
AMZN15,2022-10-31
AMZN16,2022-09-30
AMZN17,2022-08-31
AMZN18,2022-07-29
AMZN19,2022-06-30
AMZN20,2022-05-31
AMZN21,2022-04-29
AMZN22,2022-03-31
AMZN23,2022-02-28
AMZN24,2022-01-31
AMZN25,2021-12-31
AMZN26,2021-11-30
AMZN27,2021-10-29
AMZN28,2021-09-30
AMZN29,2021-08-31
AMZN30,2021-07-30
AMZN31,2021-06-30
AMZN32,2021-05-28
AMZN33,2021-04-30
AMZN34,2021-03-31
AMZN35,2021-02-26
AMZN36,2021-01-29
AMZN37,2020-12-31
AMZN38,2020-11-30
AMZN39,2020-10-30
AMZN40,2020-09-30
AMZN41,2020-08-31
AMZN42,2020-07-31
AMZN43,2020-06-30
AMZN44,2020-05-29
AMZN45,2020-04-30
AMZN46,2020-03-31
AMZN47,2020-02-28
AMZN48,2020-01-31
AMZN49,2019-12-31
AMZN50,2019-11-29
AMZN51,2019-10-31
AMZN52,2019-09-30
AMZN53,2019-08-30
AMZN54,2019-07-31
AMZN55,2019-06-28
AMZN56,2019-05-31
AMZN57,2019-04-30
AMZN58,2019-03-29
AMZN59,2019-02-28
AMZN60,2019-01-31
AMZN61,2018-12-31
AMZN62,2018-11-30
AMZN63,2018-10-31
AMZN64,2018-09-28
AMZN65,2018-08-31
AMZN66,2018-07-31
AMZN67,2018-06-29
AMZN68,2018-05-31
AMZN69,2018-04-30
AMZN70,2018-03-29
AMZN71,2018-02-28
AMZN72,2018-01-31
AMZN73,2017-12-29
AMZN74,2017-11-30
AMZN75,2017-10-31
AMZN76,2017-09-29
AMZN77,2017-08-31
AMZN78,2017-07-31
AMZN79,2017-06-30
AMZN80,2017-05-31
AMZN81,2017-04-28
AMZN82,2017-03-31
AMZN83,2017-02-28
AMZN84,2017-01-31
AMZN85,2016-12-30
AMZN86,2016-11-30
AMZN87,2016-10-31
AMZN88,2016-09-30
AMZN89,2016-08-31
AMZN90,2016-07-29
AMZN91,2016-06-30
AMZN92,2016-05-31
AMZN93,2016-04-29
AMZN94,2016-03-31
AMZN95,2016-02-29
AMZN96,2016-01-29
AMZN97,2015-12-31
AMZN98,2015-11-30
AMZN99,2015-10-30
AMZN100,2015-09-30
AMZN101,2015-08-31
AMZN102,2015-07-31
AMZN103,2015-06-30
AMZN104,2015-05-29
AMZN105,2015-04-30
AMZN106,2015-03-31
AMZN107,2015-02-27
AMZN108,2015-01-30
AMZN109,2014-12-31
AMZN110,2014-11-28
AMZN111,2014-10-31
AMZN112,2014-09-30
AMZN113,2014-08-29
AMZN114,2014-07-31
AMZN115,2014-06-30
AMZN116,2014-05-30
AMZN117,2014-04-30
AMZN118,2014-03-31
AMZN119,2014-02-28
AMZN120,2014-01-31
