id,adjusted close
AAPL0,184.25
AAPL1,192.53
AAPL2,189.95
AAPL3,170.5504
AAPL4,170.9898
AAPL5,187.6284
AAPL6,195.9329
AAPL7,193.4594
AAPL8,176.7834
AAPL9,168.9983
AAPL10,164.2375
AAPL11,146.8178
AAPL12,143.4918
AAPL13,129.2112
AAPL14,147.2111
AAPL15,152.2387
AAPL16,137.2074
AAPL17,156.0908
AAPL18,161.1187
AAPL19,135.5495
AAPL20,147.5657
AAPL21,156.0721
AAPL22,172.8623
AAPL23,163.4673
AAPL24,172.8101
AAPL25,175.5686
AAPL26,163.4369
AAPL27,147.8966
AAPL28,139.702
AAPL29,149.9008
AAPL30,143.7902
AAPL31,135.0165
AAPL32,122.8417
AAPL33,129.3759
AAPL34,120.2135
AAPL35,119.3376
AAPL36,129.6736
AAPL37,130.391
AAPL38,116.9873
AAPL39,106.7894
AAPL40,113.6072
AAPL41,126.5856
AAPL42,104.0469
AAPL43,89.3005
AAPL44,77.8295
AAPL45,71.7306
AAPL46,62.0843
AAPL47,66.7402
AAPL48,75.3848
AAPL49,71.5219
AAPL50,65.0918
AAPL51,60.4091
AAPL52,54.3891
AAPL53,50.6906
AAPL54,51.5374
AAPL55,47.8796
AAPL56,42.3519
AAPL57,48.3561
AAPL58,45.7728
AAPL59,41.7245
AAPL60,39.9365
AAPL61,37.849
AAPL62,42.8494
AAPL63,52.3312
AAPL64,53.9762
AAPL65,54.4281
AAPL66,45.3404
AAPL67,44.1061
AAPL68,44.5255
AAPL69,39.2246
AAPL70,39.8228
AAPL71,42.277
AAPL72,39.5803
AAPL73,40.0058
AAPL74,40.6252
AAPL75,39.8173
AAPL76,36.3029
AAPL77,38.6301
AAPL78,34.8917
AAPL79,33.7868
AAPL80,35.8372
AAPL81,33.5626
AAPL82,33.565
AAPL83,32.0066
AAPL84,28.2309
AAPL85,26.9444
AAPL86,25.7114
AAPL87,26.2776
AAPL88,26.1642
AAPL89,24.5557
AAPL90,23.9891
AAPL91,22.0071
AAPL92,22.9877
AAPL93,21.4478
AAPL94,24.937
AAPL95,22.1228
AAPL96,22.1522
AAPL97,23.9546
AAPL98,26.9222
AAPL99,27.0789
AAPL100,24.9148
AAPL101,25.5516
AAPL102,27.3632
AAPL103,28.2937
AAPL104,29.3889
AAPL105,28.115
AAPL106,27.9532
AAPL107,28.8585
AAPL108,26.2173
AAPL109,24.7001
AAPL110,26.6133
AAPL111,24.0635
AAPL112,22.4481
AAPL113,22.838
AAPL114,21.1952
AAPL115,20.6032
AAPL116,20.0486
AAPL117,18.5856
AAPL118,16.9052
AAPL119,16.5745
AAPL120,15.6737
