id,dates
AAPL0,2024-01-03
AAPL1,2023-12-29
AAPL2,2023-11-30
AAPL3,2023-10-31
AAPL4,2023-09-29
AAPL5,2023-08-31
AAPL6,2023-07-31
AAPL7,2023-06-30
AAPL8,2023-05-31
AAPL9,2023-04-28
AAPL10,2023-03-31
AAPL11,2023-02-28
AAPL12,2023-01-31
AAPL13,2022-12-30
AAPL14,2022-11-30
AAPL15,2022-10-31
AAPL16,2022-09-30
AAPL17,2022-08-31
AAPL18,2022-07-29
AAPL19,2022-06-30
AAPL20,2022-05-31
AAPL21,2022-04-29
AAPL22,2022-03-31
AAPL23,2022-02-28
AAPL24,2022-01-31
AAPL25,2021-12-31
AAPL26,2021-11-30
AAPL27,2021-10-29
AAPL28,2021-09-30
AAPL29,2021-08-31
AAPL30,2021-07-30
AAPL31,2021-06-30
AAPL32,2021-05-28
AAPL33,2021-04-30
AAPL34,2021-03-31
AAPL35,2021-02-26
AAPL36,2021-01-29
AAPL37,2020-12-31
AAPL38,2020-11-30
AAPL39,2020-10-30
AAPL40,2020-09-30
AAPL41,2020-08-31
AAPL42,2020-07-31
AAPL43,2020-06-30
AAPL44,2020-05-29
AAPL45,2020-04-30
AAPL46,2020-03-31
AAPL47,2020-02-28
AAPL48,2020-01-31
AAPL49,2019-12-31
AAPL50,2019-11-29
AAPL51,2019-10-31
AAPL52,2019-09-30
AAPL53,2019-08-30
AAPL54,2019-07-31
AAPL55,2019-06-28
AAPL56,2019-05-31
AAPL57,2019-04-30
AAPL58,2019-03-29
AAPL59,2019-02-28
AAPL60,2019-01-31
AAPL61,2018-12-31
AAPL62,2018-11-30
AAPL63,2018-10-31
AAPL64,2018-09-28
AAPL65,2018-08-31
AAPL66,2018-07-31
AAPL67,2018-06-29
AAPL68,2018-05-31
AAPL69,2018-04-30
AAPL70,2018-03-29
AAPL71,2018-02-28
AAPL72,2018-01-31
AAPL73,2017-12-29
AAPL74,2017-11-30
AAPL75,2017-10-31
AAPL76,2017-09-29
AAPL77,2017-08-31
AAPL78,2017-07-31
AAPL79,2017-06-30
AAPL80,2017-05-31
AAPL81,2017-04-28
AAPL82,2017-03-31
AAPL83,2017-02-28
AAPL84,2017-01-31
AAPL85,2016-12-30
AAPL86,2016-11-30
AAPL87,2016-10-31
AAPL88,2016-09-30
AAPL89,2016-08-31
AAPL90,2016-07-29
AAPL91,2016-06-30
AAPL92,2016-05-31
AAPL93,2016-04-29
AAPL94,2016-03-31
AAPL95,2016-02-29
AAPL96,2016-01-29
AAPL97,2015-12-31
AAPL98,2015-11-30
AAPL99,2015-10-30
AAPL100,2015-09-30
AAPL101,2015-08-31
AAPL102,2015-07-31
AAPL103,2015-06-30
AAPL104,2015-05-29
AAPL105,2015-04-30
AAPL106,2015-03-31
AAPL107,2015-02-27
AAPL108,2015-01-30
AAPL109,2014-12-31
AAPL110,2014-11-28
AAPL111,2014-10-31
AAPL112,2014-09-30
AAPL113,2014-08-29
AAPL114,2014-07-31
AAPL115,2014-06-30
AAPL116,2014-05-30
AAPL117,2014-04-30
AAPL118,2014-03-31
AAPL119,2014-02-28
AAPL120,2014-01-31
