id,volume
AAPL0,140903134.0
AAPL1,1062317718.0
AAPL2,1099760711.0
AAPL3,1172845791.0
AAPL4,1337873796.0
AAPL5,1323817340.0
AAPL6,996368613.0
AAPL7,1297863403.0
AAPL8,1275052503.0
AAPL9,967580718.0
AAPL10,1520461315.0
AAPL11,1307294493.0
AAPL12,1443652725.0
AAPL13,1675731304.0
AAPL14,1724948219.0
AAPL15,1868381344.0
AAPL16,2083968147.0
AAPL17,1509735435.0
AAPL18,1447364668.0
AAPL19,1749297959.0
AAPL20,2400305601.0
AAPL21,1683547838.0
AAPL22,2171827429.0
AAPL23,1628570227.0
AAPL24,2106513962.0
AAPL25,2443227128.0
AAPL26,1688864233.0
AAPL27,1565079040.0
AAPL28,1797948421.0
AAPL29,1462773381.0
AAPL30,1916751489.0
AAPL31,1606114354.0
AAPL32,1711935110.0
AAPL33,1889956694.0
AAPL34,2650845211.0
AAPL35,1825486961.0
AAPL36,2239366098.0
AAPL37,2319687808.0
AAPL38,2122724412.0
AAPL39,2895317580.0
AAPL40,3886793083.0
AAPL41,1184207050.0
AAPL42,755162226.0
AAPL43,810900890.0
AAPL44,701660022.0
AAPL45,816530808.0
AAPL46,1570331732.0
AAPL47,755223231.0
AAPL48,734044103.0
AAPL49,598871365.0
AAPL50,448922253.0
AAPL51,621478768.0
AAPL52,547408488.0
AAPL53,683515746.0
AAPL54,473957094.0
AAPL55,515218768.0
AAPL56,739456573.0
AAPL57,506117812.0
AAPL58,650981384.0
AAPL59,472540723.0
AAPL60,828099179.0
AAPL61,898917007.0
AAPL62,961321947.0
AAPL63,789748068.0
AAPL64,678972040.0
AAPL65,700318837.0
AAPL66,393843881.0
AAPL67,527624365.0
AAPL68,620976206.0
AAPL69,666360147.0
AAPL70,701387082.0
AAPL71,888378184.0
AAPL72,639245534.0
AAPL73,518560008.0
AAPL74,581374608.0
AAPL75,496135305.0
AAPL76,669594016.0
AAPL77,638221161.0
AAPL78,411377229.0
AAPL79,664986406.0
AAPL80,635292989.0
AAPL81,371280180.0
AAPL82,562091214.0
AAPL83,574968547.0
AAPL84,563331160.0
AAPL85,608771645.0
AAPL86,721554967.0
AAPL87,686914224.0
AAPL88,970096738.0
AAPL89,630128567.0
AAPL90,685779613.0
AAPL91,780630235.0
AAPL92,901144768.0
AAPL93,872383623.0
AAPL94,745756771.0
AAPL95,810862547.0
AAPL96,1271848087.0
AAPL97,922626259.0
AAPL98,750606735.0
AAPL99,1113703829.0
AAPL100,1203789074.0
AAPL101,1606359115.0
AAPL102,1058280697.0
AAPL103,878606841.0
AAPL104,954152126.0
AAPL105,996135511.0
AAPL106,1138641910.0
AAPL107,1136535493.0
AAPL108,1304879185.0
AAPL109,1073775862.0
AAPL110,820471729.0
AAPL111,1360280122.0
AAPL112,1523782675.0
AAPL113,930931500.0
AAPL114,1035191700.0
AAPL115,853194497.0
AAPL116,204845300.0
AAPL117,229823600.0
AAPL118,178632100.0
AAPL119,210013100.0
AAPL120,313069800.0
