id,adjusted close
GOOGL0,138.92
GOOGL1,139.69
GOOGL2,132.53
GOOGL3,124.08
GOOGL4,130.86
GOOGL5,136.17
GOOGL6,132.72
GOOGL7,119.7
GOOGL8,122.87
GOOGL9,107.34
GOOGL10,103.73
GOOGL11,90.06
GOOGL12,98.84
GOOGL13,88.23
GOOGL14,100.99
GOOGL15,94.51
GOOGL16,95.65
GOOGL17,108.22
GOOGL18,116.32
GOOGL19,108.963
GOOGL20,113.762
GOOGL21,114.1095
GOOGL22,139.0675
GOOGL23,135.057
GOOGL24,135.3035
GOOGL25,144.852
GOOGL26,141.8975
GOOGL27,148.046
GOOGL28,133.676
GOOGL29,144.6975
GOOGL30,134.7265
GOOGL31,122.0895
GOOGL32,117.8425
GOOGL33,117.675
GOOGL34,103.126
GOOGL35,101.0955
GOOGL36,91.368
GOOGL37,87.632
GOOGL38,87.72
GOOGL39,80.8055
GOOGL40,73.28
GOOGL41,81.4765
GOOGL42,74.3975
GOOGL43,70.9025
GOOGL44,71.676
GOOGL45,67.335
GOOGL46,58.0975
GOOGL47,66.9625
GOOGL48,71.639
GOOGL49,66.9695
GOOGL50,65.2045
GOOGL51,62.94
GOOGL52,61.057
GOOGL53,59.5265
GOOGL54,60.91
GOOGL55,54.14
GOOGL56,55.325
GOOGL57,59.948
GOOGL58,58.8445
GOOGL59,56.3275
GOOGL60,56.2945
GOOGL61,52.248
GOOGL62,55.4825
GOOGL63,54.529
GOOGL64,60.354
GOOGL65,61.59
GOOGL66,61.361
GOOGL67,56.4595
GOOGL68,55.0
GOOGL69,50.929
GOOGL70,51.857
GOOGL71,55.196
GOOGL72,59.111
GOOGL73,52.67
GOOGL74,51.8085
GOOGL75,51.652
GOOGL76,48.686
GOOGL77,47.762
GOOGL78,47.275
GOOGL79,46.484
GOOGL80,49.3545
GOOGL81,46.226
GOOGL82,42.39
GOOGL83,42.2465
GOOGL84,41.0095
GOOGL85,39.6225
GOOGL86,38.794
GOOGL87,40.495
GOOGL88,40.203
GOOGL89,39.4925
GOOGL90,39.567
GOOGL91,35.1765
GOOGL92,37.4425
GOOGL93,35.394
GOOGL94,38.145
GOOGL95,35.861
GOOGL96,38.0675
GOOGL97,38.9005
GOOGL98,38.1425
GOOGL99,36.8695
GOOGL100,31.86
GOOGL101,32.391
GOOGL102,32.875
GOOGL103,27.002
GOOGL104,27.266
GOOGL105,27.4385
GOOGL106,27.735
GOOGL107,28.1315
GOOGL108,26.8775
GOOGL109,26.533
GOOGL110,27.454
GOOGL111,28.3935
GOOGL112,29.4205
GOOGL113,29.118
GOOGL114,28.9775
GOOGL115,29.2335
GOOGL116,28.5825
GOOGL117,26.744
GOOGL118,27.949
GOOGL119,30.4854
GOOGL120,29.6157
