id,adjusted close
META0,344.47
META1,353.96
META2,327.15
META3,301.27
META4,300.21
META5,295.89
META6,318.6
META7,286.98
META8,264.72
META9,240.32
META10,211.94
META11,174.94
META12,148.97
META13,120.34
META14,118.1
META15,93.16
META16,135.68
META17,162.93
META18,159.1
META19,161.25
META20,193.64
META21,200.47
META22,222.36
META23,211.03
META24,313.26
META25,336.35
META26,324.46
META27,323.57
META28,339.39
META29,379.38
META30,356.3
META31,347.71
META32,328.73
META33,325.08
META34,294.53
META35,257.62
META36,258.33
META37,273.16
META38,276.97
META39,263.11
META40,261.9
META41,293.2
META42,253.67
META43,227.07
META44,225.09
META45,204.71
META46,166.8
META47,192.47
META48,201.91
META49,205.25
META50,201.64
META51,191.65
META52,178.08
META53,185.67
META54,194.23
META55,193.0
META56,177.47
META57,193.4
META58,166.69
META59,161.45
META60,166.69
META61,131.09
META62,140.61
META63,151.79
META64,164.46
META65,175.73
META66,172.58
META67,194.32
META68,191.78
META69,172.0
META70,159.79
META71,178.32
META72,186.89
META73,176.46
META74,177.18
META75,180.06
META76,170.87
META77,171.97
META78,169.25
META79,150.98
META80,151.46
META81,150.25
META82,142.05
META83,135.54
META84,130.32
META85,115.05
META86,118.42
META87,130.99
META88,128.27
META89,126.12
META90,123.94
META91,114.28
META92,118.81
META93,117.58
META94,114.1
META95,106.92
META96,112.21
META97,104.66
META98,104.24
META99,101.97
META100,89.73
META101,89.43
META102,94.01
META103,85.765
META104,79.19
META105,78.77
META106,82.215
META107,78.97
META108,75.91
META109,78.02
META110,77.7
META111,74.99
META112,79.04
META113,74.82
META114,72.65
META115,67.29
META116,63.3
META117,59.78
META118,60.24
META119,68.46
META120,62.57
