id,dates
META0,2024-01-03
META1,2023-12-29
META2,2023-11-30
META3,2023-10-31
META4,2023-09-29
META5,2023-08-31
META6,2023-07-31
META7,2023-06-30
META8,2023-05-31
META9,2023-04-28
META10,2023-03-31
META11,2023-02-28
META12,2023-01-31
META13,2022-12-30
META14,2022-11-30
META15,2022-10-31
META16,2022-09-30
META17,2022-08-31
META18,2022-07-29
META19,2022-06-30
META20,2022-05-31
META21,2022-04-29
META22,2022-03-31
META23,2022-02-28
META24,2022-01-31
META25,2021-12-31
META26,2021-11-30
META27,2021-10-29
META28,2021-09-30
META29,2021-08-31
META30,2021-07-30
META31,2021-06-30
META32,2021-05-28
META33,2021-04-30
META34,2021-03-31
META35,2021-02-26
META36,2021-01-29
META37,2020-12-31
META38,2020-11-30
META39,2020-10-30
META40,2020-09-30
META41,2020-08-31
META42,2020-07-31
META43,2020-06-30
META44,2020-05-29
META45,2020-04-30
META46,2020-03-31
META47,2020-02-28
META48,2020-01-31
META49,2019-12-31
META50,2019-11-29
META51,2019-10-31
META52,2019-09-30
META53,2019-08-30
META54,2019-07-31
META55,2019-06-28
META56,2019-05-31
META57,2019-04-30
META58,2019-03-29
META59,2019-02-28
META60,2019-01-31
META61,2018-12-31
META62,2018-11-30
META63,2018-10-31
META64,2018-09-28
META65,2018-08-31
META66,2018-07-31
META67,2018-06-29
META68,2018-05-31
META69,2018-04-30
META70,2018-03-29
META71,2018-02-28
META72,2018-01-31
META73,2017-12-29
META74,2017-11-30
META75,2017-10-31
META76,2017-09-29
META77,2017-08-31
META78,2017-07-31
META79,2017-06-30
META80,2017-05-31
META81,2017-04-28
META82,2017-03-31
META83,2017-02-28
META84,2017-01-31
META85,2016-12-30
META86,2016-11-30
META87,2016-10-31
META88,2016-09-30
META89,2016-08-31
META90,2016-07-29
META91,2016-06-30
META92,2016-05-31
META93,2016-04-29
META94,2016-03-31
META95,2016-02-29
META96,2016-01-29
META97,2015-12-31
META98,2015-11-30
META99,2015-10-30
META100,2015-09-30
META101,2015-08-31
META102,2015-07-31
META103,2015-06-30
META104,2015-05-29
META105,2015-04-30
META106,2015-03-31
META107,2015-02-27
META108,2015-01-30
META109,2014-12-31
META110,2014-11-28
META111,2014-10-31
META112,2014-09-30
META113,2014-08-29
META114,2014-07-31
META115,2014-06-30
META116,2014-05-30
META117,2014-04-30
META118,2014-03-31
META119,2014-02-28
META120,2014-01-31
