id,volume
META0,34493285.0
META1,334028198.0
META2,329354280.0
META3,511372074.0
META4,406801410.0
META5,424632813.0
META6,625339455.0
META7,481179600.0
META8,487059059.0
META9,439810216.0
META10,690450690.0
META11,772199855.0
META12,548770812.0
META13,653019661.0
META14,1063814422.0
META15,1114165581.0
META16,634744508.0
META17,551637733.0
META18,586548218.0
META19,686376324.0
META20,680370106.0
META21,671047219.0
META22,730939429.0
META23,1127891130.0
META24,426742200.0
META25,437947523.0
META26,440274313.0
META27,588382461.0
META28,338133948.0
META29,226135690.0
META30,334221334.0
META31,344609593.0
META32,353419284.0
META33,421280404.0
META34,497455263.0
META35,315517591.0
META36,452021869.0
META37,363610072.0
META38,356724889.0
META39,454176190.0
META40,499179596.0
META41,574266263.0
META42,516844579.0
META43,548043739.0
META44,509432028.0
META45,541538950.0
META46,649513169.0
META47,317634511.0
META48,347787838.0
META49,278225688.0
META50,258577372.0
META51,329115789.0
META52,267509200.0
META53,295147285.0
META54,351062381.0
META55,426428460.0
META56,286821828.0
META57,382184268.0
META58,388172717.0
META59,302243555.0
META60,527561443.0
META61,558786249.0
META62,518150415.0
META63,622446235.0
META64,500468912.0
META65,549016789.0
META66,652763259.0
META67,387265765.0
META68,401144183.0
META69,751130388.0
META70,983045332.0
META71,497869797.0
META72,464919779.0
META73,308647940.0
META74,335716436.0
META75,309836859.0
META76,300559928.0
META77,297781301.0
META78,402911091.0
META79,405705533.0
META80,390036541.0
META81,273330661.0
META82,342098632.0
META83,384700625.0
META84,379004804.0
META85,408728358.0
META86,654602125.0
META87,313284563.0
META88,376582063.0
META89,365670913.0
META90,470108473.0
META91,451155442.0
META92,460559986.0
META93,741613866.0
META94,521143963.0
META95,874152635.0
META96,792709100.0
META97,440479804.0
META98,547199822.0
META99,571991600.0
META100,634104916.0
META101,709770559.0
META102,790781334.0
META103,537956820.0
META104,421870709.0
META105,542124478.0
META106,575349997.0
META107,475148609.0
META108,546057661.0
META109,534690249.0
META110,491018048.0
META111,1083643275.0
META112,719738102.0
META113,589592700.0
META114,1025679500.0
META115,862067700.0
META116,1120155500.0
META117,1884621400.0
META118,1255440000.0
META119,1110774100.0
META120,1294714800.0
