id,adjusted close
MSFT0,370.6
MSFT1,376.04
MSFT2,378.91
MSFT3,337.4254
MSFT4,315.1107
MSFT5,327.0964
MSFT6,334.5299
MSFT7,339.1307
MSFT8,327.031
MSFT9,305.3272
MSFT10,286.4865
MSFT11,247.8511
MSFT12,245.631
MSFT13,237.7113
MSFT14,252.8966
MSFT15,229.4435
MSFT16,230.2045
MSFT17,258.4439
MSFT18,276.9016
MSFT19,253.3185
MSFT20,268.1528
MSFT21,273.0593
MSFT22,303.3544
MSFT23,293.9874
MSFT24,305.3493
MSFT25,330.2305
MSFT26,324.6043
MSFT27,325.0214
MSFT28,276.3103
MSFT29,295.8732
MSFT30,278.704
MSFT31,264.9992
MSFT32,244.2414
MSFT33,246.12
MSFT34,230.1044
MSFT35,226.7958
MSFT36,225.868
MSFT37,216.5785
MSFT38,208.4478
MSFT39,196.6308
MSFT40,204.2641
MSFT41,219.0258
MSFT42,198.6145
MSFT43,197.1613
MSFT44,177.5333
MSFT45,173.1437
MSFT46,152.3715
MSFT47,156.526
MSFT48,164.0211
MSFT49,151.9481
MSFT50,145.8586
MSFT51,137.6715
MSFT52,133.504
MSFT53,132.3805
MSFT54,130.4059
MSFT55,128.1954
MSFT56,118.3577
MSFT57,124.5254
MSFT58,112.4543
MSFT59,106.8191
MSFT60,99.147
MSFT61,96.4317
MSFT62,105.2802
MSFT63,100.9642
MSFT64,108.1104
MSFT65,106.182
MSFT66,99.8844
MSFT67,92.8507
MSFT68,93.0673
MSFT69,87.6789
MSFT70,85.5695
MSFT71,87.9133
MSFT72,88.6658
MSFT73,79.8282
MSFT74,78.5496
MSFT75,77.2348
MSFT76,69.1659
MSFT77,69.4259
MSFT78,67.1462
MSFT79,63.6642
MSFT80,64.5047
MSFT81,62.8768
MSFT82,60.4889
MSFT83,58.7622
MSFT84,59.0211
MSFT85,56.7296
MSFT86,55.0133
MSFT87,54.3429
MSFT88,52.2388
MSFT89,52.1119
MSFT90,51.0843
MSFT91,46.1183
MSFT92,47.7676
MSFT93,44.6285
MSFT94,49.4252
MSFT95,45.5324
MSFT96,48.9549
MSFT97,49.3015
MSFT98,48.2973
MSFT99,46.462
MSFT100,39.0125
MSFT101,38.4124
MSFT102,40.9506
MSFT103,38.7145
MSFT104,41.0909
MSFT105,42.3757
MSFT106,35.419
MSFT107,38.2026
MSFT108,34.9483
MSFT109,40.1819
MSFT110,41.3583
MSFT111,40.3577
MSFT112,39.8506
MSFT113,39.0511
MSFT114,36.8721
MSFT115,35.6248
MSFT116,34.9755
MSFT117,34.2768
MSFT118,34.7773
MSFT119,32.5035
MSFT120,31.8663
