id,dates
MSFT0,2024-01-03
MSFT1,2023-12-29
MSFT2,2023-11-30
MSFT3,2023-10-31
MSFT4,2023-09-29
MSFT5,2023-08-31
MSFT6,2023-07-31
MSFT7,2023-06-30
MSFT8,2023-05-31
MSFT9,2023-04-28
MSFT10,2023-03-31
MSFT11,2023-02-28
MSFT12,2023-01-31
MSFT13,2022-12-30
MSFT14,2022-11-30
MSFT15,2022-10-31
MSFT16,2022-09-30
MSFT17,2022-08-31
MSFT18,2022-07-29
MSFT19,2022-06-30
MSFT20,2022-05-31
MSFT21,2022-04-29
MSFT22,2022-03-31
MSFT23,2022-02-28
MSFT24,2022-01-31
MSFT25,2021-12-31
MSFT26,2021-11-30
MSFT27,2021-10-29
MSFT28,2021-09-30
MSFT29,2021-08-31
MSFT30,2021-07-30
MSFT31,2021-06-30
MSFT32,2021-05-28
MSFT33,2021-04-30
MSFT34,2021-03-31
MSFT35,2021-02-26
MSFT36,2021-01-29
MSFT37,2020-12-31
MSFT38,2020-11-30
MSFT39,2020-10-30
MSFT40,2020-09-30
MSFT41,2020-08-31
MSFT42,2020-07-31
MSFT43,2020-06-30
MSFT44,2020-05-29
MSFT45,2020-04-30
MSFT46,2020-03-31
MSFT47,2020-02-28
MSFT48,2020-01-31
MSFT49,2019-12-31
MSFT50,2019-11-29
MSFT51,2019-10-31
MSFT52,2019-09-30
MSFT53,2019-08-30
MSFT54,2019-07-31
MSFT55,2019-06-28
MSFT56,2019-05-31
MSFT57,2019-04-30
MSFT58,2019-03-29
MSFT59,2019-02-28
MSFT60,2019-01-31
MSFT61,2018-12-31
MSFT62,2018-11-30
MSFT63,2018-10-31
MSFT64,2018-09-28
MSFT65,2018-08-31
MSFT66,2018-07-31
MSFT67,2018-06-29
MSFT68,2018-05-31
MSFT69,2018-04-30
MSFT70,2018-03-29
MSFT71,2018-02-28
MSFT72,2018-01-31
MSFT73,2017-12-29
MSFT74,2017-11-30
MSFT75,2017-10-31
MSFT76,2017-09-29
MSFT77,2017-08-31
MSFT78,2017-07-31
MSFT79,2017-06-30
MSFT80,2017-05-31
MSFT81,2017-04-28
MSFT82,2017-03-31
MSFT83,2017-02-28
MSFT84,2017-01-31
MSFT85,2016-12-30
MSFT86,2016-11-30
MSFT87,2016-10-31
MSFT88,2016-09-30
MSFT89,2016-08-31
MSFT90,2016-07-29
MSFT91,2016-06-30
MSFT92,2016-05-31
MSFT93,2016-04-29
MSFT94,2016-03-31
MSFT95,2016-02-29
MSFT96,2016-01-29
MSFT97,2015-12-31
MSFT98,2015-11-30
MSFT99,2015-10-30
MSFT100,2015-09-30
MSFT101,2015-08-31
MSFT102,2015-07-31
MSFT103,2015-06-30
MSFT104,2015-05-29
MSFT105,2015-04-30
MSFT106,2015-03-31
MSFT107,2015-02-27
MSFT108,2015-01-30
MSFT109,2014-12-31
MSFT110,2014-11-28
MSFT111,2014-10-31
MSFT112,2014-09-30
MSFT113,2014-08-29
MSFT114,2014-07-31
MSFT115,2014-06-30
MSFT116,2014-05-30
MSFT117,2014-04-30
MSFT118,2014-03-31
MSFT119,2014-02-28
MSFT120,2014-01-31
