id,volume
MSFT0,48342098.0
MSFT1,521914675.0
MSFT2,564165364.0
MSFT3,540963749.0
MSFT4,416768824.0
MSFT5,479669427.0
MSFT6,666956355.0
MSFT7,547748450.0
MSFT8,600453246.0
MSFT9,551356990.0
MSFT10,747751976.0
MSFT11,615540778.0
MSFT12,666168068.0
MSFT13,591366468.0
MSFT14,615328220.0
MSFT15,671366804.0
MSFT16,575416752.0
MSFT17,476959033.0
MSFT18,534986150.0
MSFT19,621501474.0
MSFT20,742766114.0
MSFT21,622644983.0
MSFT22,732627846.0
MSFT23,697204843.0
MSFT24,946705316.0
MSFT25,625743806.0
MSFT26,507120518.0
MSFT27,516523658.0
MSFT28,502931199.0
MSFT29,440360333.0
MSFT30,522303043.0
MSFT31,508388858.0
MSFT32,495089530.0
MSFT33,568698272.0
MSFT34,724981506.0
MSFT35,489396912.0
MSFT36,647897096.0
MSFT37,593966967.0
MSFT38,573325190.0
MSFT39,631674298.0
MSFT40,768528897.0
MSFT41,692382980.0
MSFT42,769842002.0
MSFT43,765012029.0
MSFT44,688873081.0
MSFT45,984810925.0
MSFT46,1612954386.0
MSFT47,887894931.0
MSFT48,555989763.0
MSFT49,452664147.0
MSFT50,393028043.0
MSFT51,560654410.0
MSFT52,477645820.0
MSFT53,585509525.0
MSFT54,484553299.0
MSFT55,508324437.0
MSFT56,547218448.0
MSFT57,433157868.0
MSFT58,589045341.0
MSFT59,469095970.0
MSFT60,714204787.0
MSFT61,944287635.0
MSFT62,720228643.0
MSFT63,927547942.0
MSFT64,480255674.0
MSFT65,456630721.0
MSFT66,569501573.0
MSFT67,602585341.0
MSFT68,509418119.0
MSFT69,668258570.0
MSFT70,732866406.0
MSFT71,690287596.0
MSFT72,543377322.0
MSFT73,447828256.0
MSFT74,415711970.0
MSFT75,440510118.0
MSFT76,367134396.0
MSFT77,429156682.0
MSFT78,451248934.0
MSFT79,610120893.0
MSFT80,505249296.0
MSFT81,428857613.0
MSFT82,489173200.0
MSFT83,440744043.0
MSFT84,494435826.0
MSFT85,513579428.0
MSFT86,613056964.0
MSFT87,614841775.0
MSFT88,526855083.0
MSFT89,467079004.0
MSFT90,647587634.0
MSFT91,823987498.0
MSFT92,530869347.0
MSFT93,699025640.0
MSFT94,640372350.0
MSFT95,814770780.0
MSFT96,927914485.0
MSFT97,793070000.0
MSFT98,662622220.0
MSFT99,857330655.0
MSFT100,670779566.0
MSFT101,776277394.0
MSFT102,725458102.0
MSFT103,664853340.0
MSFT104,633072750.0
MSFT105,874535095.0
MSFT106,824335340.0
MSFT107,656509827.0
MSFT108,918738022.0
MSFT109,626810606.0
MSFT110,523008240.0
MSFT111,853297059.0
MSFT112,860084532.0
MSFT113,513429400.0
MSFT114,731616500.0
MSFT115,555779700.0
MSFT116,574362900.0
MSFT117,746113500.0
MSFT118,778425700.0
MSFT119,705304500.0
MSFT120,930226200.0
