id,adjusted close
SNAP0,15.78
SNAP1,16.93
SNAP2,13.83
SNAP3,10.01
SNAP4,8.91
SNAP5,10.35
SNAP6,11.36
SNAP7,11.84
SNAP8,10.2
SNAP9,8.71
SNAP10,11.21
SNAP11,10.15
SNAP12,11.56
SNAP13,8.95
SNAP14,10.31
SNAP15,9.91
SNAP16,9.82
SNAP17,10.88
SNAP18,9.88
SNAP19,13.13
SNAP20,14.11
SNAP21,28.46
SNAP22,35.99
SNAP23,39.94
SNAP24,32.54
SNAP25,47.03
SNAP26,47.61
SNAP27,52.58
SNAP28,73.87
SNAP29,76.11
SNAP30,74.42
SNAP31,68.14
SNAP32,62.12
SNAP33,61.82
SNAP34,52.29
SNAP35,65.66
SNAP36,52.94
SNAP37,50.07
SNAP38,44.42
SNAP39,39.39
SNAP40,26.11
SNAP41,22.59
SNAP42,22.42
SNAP43,23.49
SNAP44,18.94
SNAP45,17.61
SNAP46,11.89
SNAP47,14.17
SNAP48,18.38
SNAP49,16.33
SNAP50,15.25
SNAP51,15.06
SNAP52,15.8
SNAP53,15.83
SNAP54,16.8
SNAP55,14.3
SNAP56,11.89
SNAP57,11.14
SNAP58,11.02
SNAP59,9.8
SNAP60,6.68
SNAP61,5.51
SNAP62,6.51
SNAP63,6.61
SNAP64,8.48
SNAP65,10.9
SNAP66,12.5
SNAP67,13.09
SNAP68,11.39
SNAP69,14.33
SNAP70,15.87
SNAP71,17.32
SNAP72,13.52
SNAP73,14.61
SNAP74,13.78
SNAP75,15.34
SNAP76,14.54
SNAP77,14.51
SNAP78,13.67
SNAP79,17.77
SNAP80,21.21
SNAP81,22.55
