id,dates
SNAP0,2024-01-03
SNAP1,2023-12-29
SNAP2,2023-11-30
SNAP3,2023-10-31
SNAP4,2023-09-29
SNAP5,2023-08-31
SNAP6,2023-07-31
SNAP7,2023-06-30
SNAP8,2023-05-31
SNAP9,2023-04-28
SNAP10,2023-03-31
SNAP11,2023-02-28
SNAP12,2023-01-31
SNAP13,2022-12-30
SNAP14,2022-11-30
SNAP15,2022-10-31
SNAP16,2022-09-30
SNAP17,2022-08-31
SNAP18,2022-07-29
SNAP19,2022-06-30
SNAP20,2022-05-31
SNAP21,2022-04-29
SNAP22,2022-03-31
SNAP23,2022-02-28
SNAP24,2022-01-31
SNAP25,2021-12-31
SNAP26,2021-11-30
SNAP27,2021-10-29
SNAP28,2021-09-30
SNAP29,2021-08-31
SNAP30,2021-07-30
SNAP31,2021-06-30
SNAP32,2021-05-28
SNAP33,2021-04-30
SNAP34,2021-03-31
SNAP35,2021-02-26
SNAP36,2021-01-29
SNAP37,2020-12-31
SNAP38,2020-11-30
SNAP39,2020-10-30
SNAP40,2020-09-30
SNAP41,2020-08-31
SNAP42,2020-07-31
SNAP43,2020-06-30
SNAP44,2020-05-29
SNAP45,2020-04-30
SNAP46,2020-03-31
SNAP47,2020-02-28
SNAP48,2020-01-31
SNAP49,2019-12-31
SNAP50,2019-11-29
SNAP51,2019-10-31
SNAP52,2019-09-30
SNAP53,2019-08-30
SNAP54,2019-07-31
SNAP55,2019-06-28
SNAP56,2019-05-31
SNAP57,2019-04-30
SNAP58,2019-03-29
SNAP59,2019-02-28
SNAP60,2019-01-31
SNAP61,2018-12-31
SNAP62,2018-11-30
SNAP63,2018-10-31
SNAP64,2018-09-28
SNAP65,2018-08-31
SNAP66,2018-07-31
SNAP67,2018-06-29
SNAP68,2018-05-31
SNAP69,2018-04-30
SNAP70,2018-03-29
SNAP71,2018-02-28
SNAP72,2018-01-31
SNAP73,2017-12-29
SNAP74,2017-11-30
SNAP75,2017-10-31
SNAP76,2017-09-29
SNAP77,2017-08-31
SNAP78,2017-07-31
SNAP79,2017-06-30
SNAP80,2017-05-31
SNAP81,2017-04-28
