id,volume
SNAP0,58183128.0
SNAP1,529789892.0
SNAP2,435242899.0
SNAP3,670955996.0
SNAP4,375739567.0
SNAP5,451046850.0
SNAP6,764055659.0
SNAP7,475029413.0
SNAP8,563809011.0
SNAP9,579087858.0
SNAP10,725410576.0
SNAP11,769591088.0
SNAP12,567930126.0
SNAP13,595620298.0
SNAP14,727867410.0
SNAP15,1376308329.0
SNAP16,807413435.0
SNAP17,1274406986.0
SNAP18,1355394284.0
SNAP19,869371631.0
SNAP20,1195122696.0
SNAP21,650029005.0
SNAP22,560683206.0
SNAP23,1146553801.0
SNAP24,516769343.0
SNAP25,366860915.0
SNAP26,382007360.0
SNAP27,644165489.0
SNAP28,346612597.0
SNAP29,275912742.0
SNAP30,483003186.0
SNAP31,333351541.0
SNAP32,367965974.0
SNAP33,610615735.0
SNAP34,497054173.0
SNAP35,526069976.0
SNAP36,347239866.0
SNAP37,439117437.0
SNAP38,552647560.0
SNAP39,1203709830.0
SNAP40,496163989.0
SNAP41,417833019.0
SNAP42,643291929.0
SNAP43,632097271.0
SNAP44,484544621.0
SNAP45,820090536.0
SNAP46,793408506.0
SNAP47,572406697.0
SNAP48,539829516.0
SNAP49,388947185.0
SNAP50,380337447.0
SNAP51,806363693.0
SNAP52,562159897.0
SNAP53,524240570.0
SNAP54,788985256.0
SNAP55,563513507.0
SNAP56,482539936.0
SNAP57,669911790.0
SNAP58,477427015.0
SNAP59,753135053.0
SNAP60,427044383.0
SNAP61,327088145.0
SNAP62,315414093.0
SNAP63,693710524.0
SNAP64,573591403.0
SNAP65,435536964.0
SNAP66,325811618.0
SNAP67,661873980.0
SNAP68,724954135.0
SNAP69,420987523.0
SNAP70,443045058.0
SNAP71,913533026.0
SNAP72,354202610.0
SNAP73,375870572.0
SNAP74,607621421.0
SNAP75,449746533.0
SNAP76,508752890.0
SNAP77,940242480.0
SNAP78,344478210.0
SNAP79,313557240.0
SNAP80,602353722.0
SNAP81,231994583.0
